a	0.08167	e	0.12702
b	0.01492	t	0.09056
c	0.02782	a	0.08167
d	0.04253	o	0.07507
e	0.12702	i	0.06966
f	0.02228	n	0.06749
g	0.02015	s	0.06327
h	0.06094	h	0.06094
i	0.06966	r	0.05987
j	0.00153	d	0.04253
k	0.00772	l	0.04025
l	0.04025	c	0.02782
m	0.02406	u	0.02758
n	0.06749	m	0.02406
o	0.07507	w	0.02360
p	0.01929	f	0.02228
q	0.00095	g	0.02015
r	0.05987	y	0.01974
s	0.06327	p	0.01929
t	0.09056	b	0.01492
u	0.02758	v	0.00978
v	0.00978	k	0.00772
w	0.02360	j	0.00153
x	0.00150	x	0.00150
y	0.01974	q	0.00095
z	0.00074	z	0.00074
